"defense","rushing_yds","year"
"972","WAS",9,"2015"
"973","WAS",-1,"2015"
"974","WAS",2,"2015"
"975","WAS",2,"2015"
"976","WAS",8,"2015"
"977","WAS",3,"2015"
"978","WAS",0,"2015"
"979","WAS",8,"2015"
"980","WAS",-1,"2015"
"981","WAS",4,"2015"
"982","MIN",3,"2015"
"983","MIN",5,"2015"
"984","MIN",4,"2015"
"985","MIN",7,"2015"
"986","MIN",-4,"2015"
"987","MIN",2,"2015"
"988","MIN",10,"2015"
"989","MIN",7,"2015"
"990","MIN",4,"2015"
"991","MIN",1,"2015"
"992","MIN",7,"2015"
"993","TB",2,"2015"
"994","TB",0,"2015"
"995","TB",7,"2015"
"996","TB",3,"2015"
"997","TB",11,"2015"
"998","TB",4,"2015"
"999","TB",4,"2015"
"1000","TB",3,"2015"
"1001","TB",5,"2015"
"1002","TB",10,"2015"
"1003","TB",3,"2015"
"1004","TB",3,"2015"
"1005","TB",11,"2015"
"1006","TB",2,"2015"
"1007","TB",3,"2015"
"1008","TB",4,"2015"
"1009","TB",4,"2015"
"1010","TB",2,"2015"
"1011","TB",2,"2015"
"1012","DET",3,"2015"
"1013","DET",3,"2015"
"1014","DET",1,"2015"
"1015","DET",4,"2015"
"1016","DET",3,"2015"
"1018","CHI",-1,"2015"
"1019","CHI",3,"2015"
"1020","SEA",10,"2015"
"1021","SEA",-4,"2015"
"1022","SEA",6,"2015"
"1023","SEA",2,"2015"
"1024","SEA",5,"2015"
"1025","SEA",7,"2015"
"1026","SEA",2,"2015"
"1027","SEA",4,"2015"
"1028","SEA",3,"2015"
"1029","SEA",2,"2015"
"1030","SEA",35,"2015"
"1031","SEA",2,"2015"
"1032","SEA",1,"2015"
"1033","SEA",0,"2015"
"1034","SEA",8,"2015"
"1035","SEA",4,"2015"
"1036","SEA",-1,"2015"
"1037","SEA",5,"2015"
"1038","SEA",2,"2015"
"1039","SEA",2,"2015"
"1040","KC",11,"2015"
"1041","KC",0,"2015"
"1042","KC",8,"2015"
"1043","KC",4,"2015"
"1044","KC",-2,"2015"
"1045","KC",0,"2015"
"1046","KC",1,"2015"
"1047","KC",4,"2015"
"1048","KC",0,"2015"
